2.347385999755940702e+02 4.173778288354609600e+01 -4.813562123918586622e+00
2.347506103716031589e+02 4.173794742438243333e+01 -4.920277841538563735e+00
2.347626208289216265e+02 4.173811071454895227e+01 -5.025054904073840589e+00
2.347746313470822770e+02 4.173827275403210990e+01 -5.127758191891700790e+00
2.347866419256180279e+02 4.173843354281848406e+01 -5.228185798677941420e+00
2.347986525640616549e+02 4.173859308089473785e+01 -5.326139607462948788e+00
2.348106632619459901e+02 4.173875136824764809e+01 -5.421652143596134010e+00
2.348226740188038093e+02 4.173890840486410525e+01 -5.515173910447288108e+00
2.348346848341679163e+02 4.173906419073107088e+01 -5.607415860200774205e+00
2.348466957075710297e+02 4.173921872583564863e+01 -5.699088257687606074e+00
2.348587066385458684e+02 4.173937201016502030e+01 -5.790793867836725894e+00
2.348707176266251508e+02 4.173952404370648139e+01 -5.883020476625006268e+00
2.348827286713416242e+02 4.173967482644743399e+01 -5.976158628901885095e+00
2.348947397722278652e+02 4.173982435837535832e+01 -6.070522276437031906e+00
2.349067509288165922e+02 4.173997263947787673e+01 -6.166367902932222478e+00
2.349187621406404105e+02 4.174011966974268262e+01 -6.263910799568577659e+00
2.349307734072319818e+02 4.174026544915760439e+01 -6.363337871201565576e+00
2.349427847281238542e+02 4.174040997771054151e+01 -6.464816840369337569e+00
2.349547961028486043e+02 4.174055325538952133e+01 -6.568501848904702456e+00
2.349668075309388655e+02 4.174069528218266356e+01 -6.674535232556024766e+00
2.349788190119271292e+02 4.174083605807818032e+01 -6.783045070859373027e+00
2.349908305453459434e+02 4.174097558306441869e+01 -6.894138679901118394e+00
2.350028421307277711e+02 4.174111385712978972e+01 -7.007894022136952117e+00
2.350148537676051888e+02 4.174125088026284658e+01 -7.124353277475506729e+00
2.350268654555105741e+02 4.174138665245223478e+01 -7.243523167498096882e+00
2.350388771939764752e+02 4.174152117368667803e+01 -7.365384075096756078e+00
2.350508889825353265e+02 4.174165444395502078e+01 -7.489909636992251762e+00
2.350629008207195056e+02 4.174178646324622122e+01 -7.617062701901659239e+00
2.350749127080614471e+02 4.174191723154935119e+01 -7.746742822034036635e+00
2.350869246440935285e+02 4.174204674885353938e+01 -7.878859139531300571e+00
2.350989366283481559e+02 4.174217501514805662e+01 -8.013337042423813728e+00
2.351109486603576784e+02 4.174230203042227316e+01 -8.150111306005442202e+00
2.351229607396544168e+02 4.174242779466565167e+01 -8.289123882695889733e+00
2.351349728657707487e+02 4.174255230786776849e+01 -8.430322747735942812e+00
2.351469850382389382e+02 4.174267557001829232e+01 -8.573661233130223991e+00
2.351589972565913627e+02 4.174279758110700556e+01 -8.719097707401772368e+00
2.351710095203602009e+02 4.174291834112379007e+01 -8.866595421554734457e+00
2.351830218290778021e+02 4.174303785005863432e+01 -9.016122107366072669e+00
2.351950341822763448e+02 4.174315610790162623e+01 -9.167648627993514765e+00
2.352070465794881784e+02 4.174327311464295320e+01 -9.321146356270276101e+00
